Dataset,Method,Layer,Metric,Mean A,Mean B,W-Statistic,P-Value,Significant (p<0.05)
commonsense_qa,LR-G,3,AUC,0.4883578666666667,0.5108154666666667,13.0,1.6391277313232422e-07,True
commonsense_qa,LR-G,3,Macro F1,0.48354342836370734,0.3333333333333334,0.0,1.7333066441991056e-06,True
commonsense_qa,LR-G,5,AUC,0.5425615999999999,0.5489674666666666,157.0,0.12413446232676506,False
commonsense_qa,LR-G,5,Macro F1,0.5304961172095716,0.3333333333333334,0.0,1.7333066441991056e-06,True
commonsense_qa,LR-G,7,AUC,0.6931264000000001,0.6620549333333333,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,7,Macro F1,0.6316065155235627,0.3333333333333334,0.0,1.7333066441991056e-06,True
commonsense_qa,LR-G,9,AUC,0.8090560000000001,0.7984474666666668,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,9,Macro F1,0.714261211773706,0.3518469730596835,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,11,AUC,0.8878064,0.8792597333333333,2.0,5.587935447692871e-09,True
commonsense_qa,LR-G,11,Macro F1,0.7984932001370394,0.45688995595002074,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,13,AUC,0.9204485333333333,0.9158645333333334,10.0,8.009374141693115e-08,True
commonsense_qa,LR-G,13,Macro F1,0.8434526868312828,0.5245862323265411,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,15,AUC,0.9362746666666667,0.9284042666666666,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,15,Macro F1,0.8609844087784889,0.5542722433509352,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,17,AUC,0.9453568000000001,0.9379557333333332,3.0,2.351977194551935e-06,True
commonsense_qa,LR-G,17,Macro F1,0.887723913807199,0.5859023756326199,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,19,AUC,0.9417904000000001,0.9296826666666667,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,19,Macro F1,0.8769861130324943,0.5784642069384398,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,21,AUC,0.9399456,0.9285728,1.0,1.919722783767457e-06,True
commonsense_qa,LR-G,21,Macro F1,0.8727856889912359,0.5897203743509233,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,23,AUC,0.9406005333333333,0.9194314666666668,0.0,1.732216233144114e-06,True
commonsense_qa,LR-G,23,Macro F1,0.8713834026115563,0.5992907341701904,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,25,AUC,0.9391765333333332,0.9098010666666667,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,25,Macro F1,0.8734520926171195,0.5947142864110615,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,27,AUC,0.9358848,0.9056858666666666,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,27,Macro F1,0.861849533623514,0.6064121800489122,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,29,AUC,0.935536,0.8990106666666667,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,29,Macro F1,0.8512481223324558,0.6109798202133542,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,31,AUC,0.9324570666666666,0.8963525333333332,0.0,1.862645149230957e-09,True
commonsense_qa,LR-G,31,Macro F1,0.8678535394485614,0.6197026348808738,0.0,1.862645149230957e-09,True
arc_challenge,BB,N/A,AUC,0.7022192393736019,0.6905428784489188,1.0,3.725290298461914e-09,True
arc_challenge,BB,N/A,Macro F1,0.6317064968069501,0.5627707833262392,0.0,1.862645149230957e-09,True
arc_challenge,LR,1,AUC,0.5391976137211036,0.5338523489932886,68.0,0.0003800932317972183,True
arc_challenge,LR,1,Macro F1,0.5177966094334019,0.3334316006469402,0.0,1.7333066441991056e-06,True
arc_challenge,LR,3,AUC,0.5553631618195376,0.554875466070097,229.0,0.9515264742076397,False
arc_challenge,LR,3,Macro F1,0.5300201692642179,0.3334316006469402,0.0,1.7333066441991056e-06,True
arc_challenge,LR,5,AUC,0.5735928411633109,0.5637882177479494,71.0,0.0015349989917673474,True
arc_challenge,LR,5,Macro F1,0.5567598143598449,0.3334316006469402,0.0,1.862645149230957e-09,True
arc_challenge,LR,7,AUC,0.5715689783743474,0.5505205070842654,21.0,1.359397478992296e-05,True
arc_challenge,LR,7,Macro F1,0.5510152794253668,0.3334316006469402,0.0,1.732216233144114e-06,True
arc_challenge,LR,9,AUC,0.5866935123042506,0.5693214019388516,19.0,5.718320608139038e-07,True
